District,Language,School Year,Students,ELLs
Andover School District                                ,Spanish                                           ,2011-12,<=5,<=5
Andover School District                                ,Italian                                           ,2011-12,<=5,<=5
Andover School District                                ,Polish                                            ,2011-12,6,<=5
Andover School District                                ,Czech                                             ,2011-12,<=5,<=5
Andover School District                                ,German                                            ,2011-12,<=5,<=5
Andover School District                                ,Bangla                                            ,2011-12,<=5,<=5
Ansonia School District                                ,Spanish                                           ,2011-12,128,36
Ansonia School District                                ,Portuguese                                        ,2011-12,<=5,<=5
Ansonia School District                                ,Lao                                               ,2011-12,<=5,<=5
Ansonia School District                                ,Hmong                                             ,2011-12,<=5,<=5
Ansonia School District                                ,Italian                                           ,2011-12,<=5,<=5
Ansonia School District                                ,Polish                                            ,2011-12,28,<=5
Ansonia School District                                ,Greek                                             ,2011-12,<=5,<=5
Ansonia School District                                ,Albanian                                          ,2011-12,22,9
Ansonia School District                                ,Arabic                                            ,2011-12,7,<=5
Ansonia School District                                ,Bengali                                           ,2011-12,<=5,<=5
Ansonia School District                                ,Farsi                                             ,2011-12,<=5,<=5
Ansonia School District                                ,French                                            ,2011-12,<=5,<=5
Ansonia School District                                ,Gujarati                                          ,2011-12,<=5,<=5
Ansonia School District                                ,Creole-Haitian                                    ,2011-12,<=5,<=5
Ansonia School District                                ,Lithuanian                                        ,2011-12,<=5,<=5
Ansonia School District                                ,Russian                                           ,2011-12,<=5,<=5
Ansonia School District                                ,Serbo-Croatian                                    ,2011-12,<=5,<=5
Ansonia School District                                ,Somali                                            ,2011-12,<=5,<=5
Ansonia School District                                ,Pilipino (Filipino)                               ,2011-12,<=5,<=5
Ansonia School District                                ,Tamil                                             ,2011-12,<=5,<=5
Ansonia School District                                ,Turkish                                           ,2011-12,15,8
Ansonia School District                                ,Ukrainian                                         ,2011-12,<=5,<=5
Ansonia School District                                ,Urdu                                              ,2011-12,<=5,<=5
Ansonia School District                                ,Vietnamese                                        ,2011-12,8,<=5
Ansonia School District                                ,Cantonese                                         ,2011-12,<=5,<=5
Ansonia School District                                ,Mandarin                                          ,2011-12,<=5,<=5
Ansonia School District                                ,Visayan                                           ,2011-12,<=5,<=5
Ansonia School District                                ,Persian                                           ,2011-12,<=5,<=5
Ashford School District                                ,Spanish                                           ,2011-12,<=5,<=5
Ashford School District                                ,Polish                                            ,2011-12,<=5,<=5
Ashford School District                                ,Arabic                                            ,2011-12,<=5,<=5
Ashford School District                                ,Bengali                                           ,2011-12,<=5,<=5
Ashford School District                                ,Gujarati                                          ,2011-12,<=5,<=5
Ashford School District                                ,Pashto                                            ,2011-12,<=5,<=5
Ashford School District                                ,Russian                                           ,2011-12,<=5,<=5
Avon School District                                   ,Spanish                                           ,2011-12,31,8
Avon School District                                   ,Portuguese                                        ,2011-12,<=5,<=5
Avon School District                                   ,Italian                                           ,2011-12,<=5,<=5
Avon School District                                   ,Polish                                            ,2011-12,7,<=5
Avon School District                                   ,Albanian                                          ,2011-12,<=5,<=5
Avon School District                                   ,Arabic                                            ,2011-12,<=5,<=5
Avon School District                                   ,Assyrian                                          ,2011-12,<=5,<=5
Avon School District                                   ,Bengali                                           ,2011-12,<=5,<=5
Avon School District                                   ,Danish                                            ,2011-12,6,<=5
Avon School District                                   ,Farsi                                             ,2011-12,<=5,<=5
Avon School District                                   ,French                                            ,2011-12,6,<=5
Avon School District                                   ,German                                            ,2011-12,12,<=5
Avon School District                                   ,Gujarati                                          ,2011-12,<=5,<=5
Avon School District                                   ,Hindi                                             ,2011-12,10,<=5
Avon School District                                   ,Japanese                                          ,2011-12,8,<=5
Avon School District                                   ,Kannada                                           ,2011-12,<=5,<=5
Avon School District                                   ,Korean                                            ,2011-12,28,11
Avon School District                                   ,Malayalam                                         ,2011-12,<=5,<=5
Avon School District                                   ,Marathi                                           ,2011-12,<=5,<=5
Avon School District                                   ,Pashto                                            ,2011-12,<=5,<=5
Avon School District                                   ,Rumanian                                          ,2011-12,<=5,<=5
Avon School District                                   ,Russian                                           ,2011-12,17,<=5
Avon School District                                   ,Serbo-Croatian                                    ,2011-12,<=5,<=5
Avon School District                                   ,Slovak                                            ,2011-12,<=5,<=5
Avon School District                                   ,Tamil                                             ,2011-12,10,<=5
Avon School District                                   ,Telugu                                            ,2011-12,14,<=5
Avon School District                                   ,Thai                                              ,2011-12,<=5,<=5
Avon School District                                   ,Turkish                                           ,2011-12,<=5,<=5
Avon School District                                   ,Ukrainian                                         ,2011-12,<=5,<=5
Avon School District                                   ,Urdu                                              ,2011-12,<=5,<=5
Avon School District                                   ,Vietnamese                                        ,2011-12,<=5,<=5
Avon School District                                   ,Taiwanese                                         ,2011-12,<=5,<=5
Avon School District                                   ,Cantonese                                         ,2011-12,6,<=5
Avon School District                                   ,Mandarin                                          ,2011-12,24,<=5
Avon School District                                   ,Oriya                                             ,2011-12,<=5,<=5
Avon School District                                   ,Tulu                                              ,2011-12,<=5,<=5
Avon School District                                   ,Persian                                           ,2011-12,<=5,<=5
Barkhamsted School District                            ,Spanish                                           ,2011-12,<=5,<=5
Barkhamsted School District                            ,Greek                                             ,2011-12,<=5,<=5
Barkhamsted School District                            ,Hungarian                                         ,2011-12,<=5,<=5
Barkhamsted School District                            ,Thai                                              ,2011-12,<=5,<=5
Berlin School District                                 ,Spanish                                           ,2011-12,32,16
Berlin School District                                 ,Portuguese                                        ,2011-12,<=5,<=5
Berlin School District                                 ,Italian                                           ,2011-12,<=5,<=5
Berlin School District                                 ,Polish                                            ,2011-12,98,23
Berlin School District                                 ,Greek                                             ,2011-12,<=5,<=5
Berlin School District                                 ,Albanian                                          ,2011-12,<=5,<=5
Berlin School District                                 ,Arabic                                            ,2011-12,12,7
Berlin School District                                 ,Armenian                                          ,2011-12,<=5,<=5
Berlin School District                                 ,Assyrian                                          ,2011-12,<=5,<=5
Berlin School District                                 ,French                                            ,2011-12,<=5,<=5
Berlin School District                                 ,German                                            ,2011-12,<=5,<=5
Berlin School District                                 ,Gujarati                                          ,2011-12,33,10
Berlin School District                                 ,Hindi                                             ,2011-12,<=5,<=5
Berlin School District                                 ,Hungarian                                         ,2011-12,<=5,<=5
Berlin School District                                 ,Lithuanian                                        ,2011-12,<=5,<=5
Berlin School District                                 ,Marathi                                           ,2011-12,<=5,<=5
Berlin School District                                 ,Russian                                           ,2011-12,<=5,<=5
Berlin School District                                 ,Serbo-Croatian                                    ,2011-12,<=5,<=5
Berlin School District                                 ,Slovak                                            ,2011-12,<=5,<=5
Berlin School District                                 ,Thai                                              ,2011-12,<=5,<=5
Berlin School District                                 ,Turkish                                           ,2011-12,<=5,<=5
Berlin School District                                 ,Ukrainian                                         ,2011-12,<=5,<=5
Berlin School District                                 ,Urdu                                              ,2011-12,13,<=5
Berlin School District                                 ,Yoruba                                            ,2011-12,<=5,<=5
Berlin School District                                 ,Vietnamese                                        ,2011-12,<=5,<=5
Berlin School District                                 ,Bangla                                            ,2011-12,<=5,<=5
Berlin School District                                 ,Mandarin                                          ,2011-12,<=5,<=5
Berlin School District                                 ,Tagalog                                           ,2011-12,<=5,<=5
Bethany School District                                ,Spanish                                           ,2011-12,<=5,<=5
Bethany School District                                ,Lao                                               ,2011-12,<=5,<=5
Bethany School District                                ,Polish                                            ,2011-12,<=5,<=5
Bethany School District                                ,Japanese                                          ,2011-12,<=5,<=5
Bethany School District                                ,Korean                                            ,2011-12,<=5,<=5
Bethany School District                                ,Rumanian                                          ,2011-12,<=5,<=5
Bethany School District                                ,Russian                                           ,2011-12,<=5,<=5
Bethany School District                                ,Pilipino (Filipino)                               ,2011-12,<=5,<=5
Bethany School District                                ,Ukrainian                                         ,2011-12,<=5,<=5
Bethany School District                                ,Urdu                                              ,2011-12,<=5,<=5
Bethany School District                                ,Mandarin                                          ,2011-12,<=5,<=5
Bethel School District                                 ,Spanish                                           ,2011-12,112,36
Bethel School District                                 ,Portuguese                                        ,2011-12,59,18
Bethel School District                                 ,Lao                                               ,2011-12,<=5,<=5
Bethel School District                                 ,Hmong                                             ,2011-12,<=5,<=5
Bethel School District                                 ,Khmer(Cambodian)                                  ,2011-12,6,<=5
Bethel School District                                 ,Polish                                            ,2011-12,<=5,<=5
Bethel School District                                 ,Albanian                                          ,2011-12,<=5,<=5
Bethel School District                                 ,Arabic                                            ,2011-12,6,<=5
Bethel School District                                 ,Bengali                                           ,2011-12,6,<=5
Bethel School District                                 ,Dari                                              ,2011-12,<=5,<=5
Bethel School District                                 ,Gujarati                                          ,2011-12,<=5,<=5
Bethel School District                                 ,Hindi                                             ,2011-12,<=5,<=5
Bethel School District                                 ,Japanese                                          ,2011-12,<=5,<=5
Bethel School District                                 ,Korean                                            ,2011-12,<=5,<=5
Bethel School District                                 ,Punjabi                                           ,2011-12,6,<=5
Bethel School District                                 ,Russian                                           ,2011-12,<=5,<=5
Bethel School District                                 ,Serbo-Croatian                                    ,2011-12,<=5,<=5
Bethel School District                                 ,Telugu                                            ,2011-12,<=5,<=5
Bethel School District                                 ,Thai                                              ,2011-12,<=5,<=5
Bethel School District                                 ,Urdu                                              ,2011-12,7,<=5
Bethel School District                                 ,Vietnamese                                        ,2011-12,13,<=5
Bethel School District                                 ,Bangla                                            ,2011-12,<=5,<=5
Bethel School District                                 ,Cantonese                                         ,2011-12,10,<=5
Bethel School District                                 ,Mandarin                                          ,2011-12,<=5,<=5
Bloomfield School District                             ,Spanish                                           ,2011-12,23,12
Bloomfield School District                             ,Portuguese                                        ,2011-12,<=5,<=5
Bloomfield School District                             ,Italian                                           ,2011-12,<=5,<=5
Bloomfield School District                             ,Albanian                                          ,2011-12,<=5,<=5
Bloomfield School District                             ,Arabic                                            ,2011-12,<=5,<=5
Bloomfield School District                             ,Bengali                                           ,2011-12,<=5,<=5
Bloomfield School District                             ,French                                            ,2011-12,<=5,<=5
Bloomfield School District                             ,Creole-Haitian                                    ,2011-12,<=5,<=5
Bloomfield School District                             ,Hausa                                             ,2011-12,<=5,<=5
Bloomfield School District                             ,Russian                                           ,2011-12,<=5,<=5
Bloomfield School District                             ,Telugu                                            ,2011-12,<=5,<=5
Bloomfield School District                             ,Twi/Fante                                         ,2011-12,<=5,<=5
Bloomfield School District                             ,Ukrainian                                         ,2011-12,<=5,<=5
Bloomfield School District                             ,Urdu                                              ,2011-12,<=5,<=5
Bloomfield School District                             ,Vietnamese                                        ,2011-12,<=5,<=5
Bloomfield School District                             ,Amharic                                           ,2011-12,<=5,<=5
Bloomfield School District                             ,Igbo                                              ,2011-12,<=5,<=5
Bloomfield School District                             ,Samoan                                            ,2011-12,<=5,<=5
Bloomfield School District                             ,Bangla                                            ,2011-12,<=5,<=5
Bloomfield School District                             ,Burmese                                           ,2011-12,<=5,<=5
Bloomfield School District                             ,Cantonese                                         ,2011-12,<=5,<=5
Bloomfield School District                             ,Mandarin                                          ,2011-12,<=5,<=5
Bloomfield School District                             ,Patois                                            ,2011-12,15,13
Bloomfield School District                             ,Ga                                                ,2011-12,<=5,<=5
Bolton School District                                 ,Spanish                                           ,2011-12,<=5,<=5
Bolton School District                                 ,Polish                                            ,2011-12,<=5,<=5
Bolton School District                                 ,Bulgarian                                         ,2011-12,<=5,<=5
Bolton School District                                 ,Gujarati                                          ,2011-12,<=5,<=5
Bolton School District                                 ,Korean                                            ,2011-12,<=5,<=5
Bolton School District                                 ,Russian                                           ,2011-12,<=5,<=5
Bolton School District                                 ,Ukrainian                                         ,2011-12,<=5,<=5
Bolton School District                                 ,Tibetan                                           ,2011-12,<=5,<=5
Bozrah School District                                 ,Spanish                                           ,2011-12,<=5,<=5
Bozrah School District                                 ,Armenian                                          ,2011-12,<=5,<=5
Branford School District                               ,Spanish                                           ,2011-12,102,42
Branford School District                               ,Portuguese                                        ,2011-12,<=5,<=5
Branford School District                               ,Italian                                           ,2011-12,6,<=5
Branford School District                               ,Polish                                            ,2011-12,<=5,<=5
Branford School District                               ,Albanian                                          ,2011-12,<=5,<=5
Branford School District                               ,Arabic                                            ,2011-12,6,<=5
Branford School District                               ,Bengali                                           ,2011-12,<=5,<=5
Branford School District                               ,Dutch                                             ,2011-12,<=5,<=5
Branford School District                               ,Farsi                                             ,2011-12,<=5,<=5
Branford School District                               ,French                                            ,2011-12,9,6
Branford School District                               ,Ganda                                             ,2011-12,<=5,<=5
Branford School District                               ,German                                            ,2011-12,<=5,<=5
Branford School District                               ,Gujarati                                          ,2011-12,9,<=5
Branford School District                               ,Hindi                                             ,2011-12,<=5,<=5
Branford School District                               ,Japanese                                          ,2011-12,<=5,<=5
Branford School District                               ,Kannada                                           ,2011-12,<=5,<=5
Branford School District                               ,Korean                                            ,2011-12,7,<=5
Branford School District                               ,Malayalam                                         ,2011-12,<=5,<=5
Branford School District                               ,Marathi                                           ,2011-12,<=5,<=5
Branford School District                               ,Norwegian                                         ,2011-12,<=5,<=5
Branford School District                               ,Punjabi                                           ,2011-12,7,<=5
Branford School District                               ,Russian                                           ,2011-12,<=5,<=5
Branford School District                               ,Serbo-Croatian                                    ,2011-12,15,<=5
Branford School District                               ,Sindhi                                            ,2011-12,<=5,<=5
Branford School District                               ,Pilipino (Filipino)                               ,2011-12,<=5,<=5
Branford School District                               ,Tamil                                             ,2011-12,<=5,<=5
Branford School District                               ,Telugu                                            ,2011-12,<=5,<=5
Branford School District                               ,Thai                                              ,2011-12,7,<=5
Branford School District                               ,Turkish                                           ,2011-12,10,7
Branford School District                               ,Urdu                                              ,2011-12,24,8
Branford School District                               ,Yoruba                                            ,2011-12,<=5,<=5
Branford School District                               ,Vietnamese                                        ,2011-12,17,6
Branford School District                               ,Nepali                                            ,2011-12,30,7
Branford School District                               ,Mandarin                                          ,2011-12,27,<=5
Branford School District                               ,Fujianese                                         ,2011-12,<=5,<=5
Branford School District                               ,Tagalog                                           ,2011-12,<=5,<=5
Bridgeport School District                             ,Spanish                                           ,2011-12,6084,2085
Bridgeport School District                             ,Portuguese                                        ,2011-12,524,109
Bridgeport School District                             ,Lao                                               ,2011-12,39,<=5
Bridgeport School District                             ,Khmer(Cambodian)                                  ,2011-12,65,10
Bridgeport School District                             ,Italian                                           ,2011-12,<=5,<=5
Bridgeport School District                             ,Polish                                            ,2011-12,13,<=5
Bridgeport School District                             ,Greek                                             ,2011-12,7,<=5
Bridgeport School District                             ,Afrikaans                                         ,2011-12,<=5,<=5
Bridgeport School District                             ,Albanian                                          ,2011-12,26,8
Bridgeport School District                             ,Arabic                                            ,2011-12,51,12
Bridgeport School District                             ,Benba                                             ,2011-12,<=5,<=5
Bridgeport School District                             ,Bengali                                           ,2011-12,95,43
Bridgeport School District                             ,Farsi                                             ,2011-12,<=5,<=5
Bridgeport School District                             ,French                                            ,2011-12,92,23
Bridgeport School District                             ,Ganda                                             ,2011-12,<=5,<=5
Bridgeport School District                             ,German                                            ,2011-12,<=5,<=5
Bridgeport School District                             ,Gujarati                                          ,2011-12,20,<=5
Bridgeport School District                             ,Haida                                             ,2011-12,<=5,<=5
Bridgeport School District                             ,Creole-Haitian                                    ,2011-12,401,114
Bridgeport School District                             ,Hausa                                             ,2011-12,<=5,<=5
Bridgeport School District                             ,Hindi                                             ,2011-12,6,<=5
Bridgeport School District                             ,Hungarian                                         ,2011-12,<=5,<=5
Bridgeport School District                             ,Konkani                                           ,2011-12,<=5,<=5
Bridgeport School District                             ,Japanese                                          ,2011-12,<=5,<=5
Bridgeport School District                             ,Korean                                            ,2011-12,<=5,<=5
Bridgeport School District                             ,Hebrew                                            ,2011-12,<=5,<=5
Bridgeport School District                             ,Lithuanian                                        ,2011-12,<=5,<=5
Bridgeport School District                             ,Malay(Indonesian)                                 ,2011-12,<=5,<=5
Bridgeport School District                             ,Malayalam                                         ,2011-12,<=5,<=5
Bridgeport School District                             ,Pashto                                            ,2011-12,8,<=5
Bridgeport School District                             ,Punjabi                                           ,2011-12,<=5,<=5
Bridgeport School District                             ,Akan                                              ,2011-12,<=5,<=5
Bridgeport School District                             ,Rumanian                                          ,2011-12,<=5,<=5
Bridgeport School District                             ,Russian                                           ,2011-12,<=5,<=5
Bridgeport School District                             ,Serbo-Croatian                                    ,2011-12,13,<=5
Bridgeport School District                             ,Shona                                             ,2011-12,<=5,<=5
Bridgeport School District                             ,Slovak                                            ,2011-12,<=5,<=5
Bridgeport School District                             ,Somali                                            ,2011-12,<=5,<=5
Bridgeport School District                             ,Swahili                                           ,2011-12,6,<=5
Bridgeport School District                             ,Pilipino (Filipino)                               ,2011-12,<=5,<=5
Bridgeport School District                             ,Tamil                                             ,2011-12,<=5,<=5
Bridgeport School District                             ,Telugu                                            ,2011-12,<=5,<=5
Bridgeport School District                             ,Thai                                              ,2011-12,6,<=5
Bridgeport School District                             ,Tigrinya                                          ,2011-12,<=5,<=5
Bridgeport School District                             ,Turkish                                           ,2011-12,21,<=5
Bridgeport School District                             ,Twi/Fante                                         ,2011-12,<=5,<=5
Bridgeport School District                             ,Ukrainian                                         ,2011-12,<=5,<=5
Bridgeport School District                             ,Urdu                                              ,2011-12,26,10
Bridgeport School District                             ,Yoruba                                            ,2011-12,11,<=5
Bridgeport School District                             ,Vietnamese                                        ,2011-12,135,29
Bridgeport School District                             ,Amharic                                           ,2011-12,<=5,<=5
Bridgeport School District                             ,Igbo                                              ,2011-12,<=5,<=5
Bridgeport School District                             ,Creole-Cape Verdean                               ,2011-12,27,6
Bridgeport School District                             ,Zulu                                              ,2011-12,<=5,<=5
Bridgeport School District                             ,Ashanti                                           ,2011-12,<=5,<=5
Bridgeport School District                             ,Bangla                                            ,2011-12,11,6
Bridgeport School District                             ,Ewe                                               ,2011-12,<=5,<=5
Bridgeport School District                             ,Kinyarwanda                                       ,2011-12,<=5,<=5
Bridgeport School District                             ,Kurdish                                           ,2011-12,46,27
Bridgeport School District                             ,Limgala                                           ,2011-12,<=5,<=5
Bridgeport School District                             ,Mandarin                                          ,2011-12,23,7
Bridgeport School District                             ,Mende                                             ,2011-12,<=5,<=5
Bridgeport School District                             ,Visayan                                           ,2011-12,<=5,<=5
Bridgeport School District                             ,Wolof                                             ,2011-12,<=5,<=5
Bridgeport School District                             ,Persian                                           ,2011-12,<=5,<=5
Bridgeport School District                             ,Creole-Jaotoam                                    ,2011-12,<=5,<=5
Bridgeport School District                             ,Mondingo                                          ,2011-12,<=5,<=5
Bridgeport School District                             ,Nyanja                                            ,2011-12,6,<=5
Bridgeport School District                             ,Patois                                            ,2011-12,12,<=5
Bridgeport School District                             ,Patwa                                             ,2011-12,<=5,<=5
Bridgeport School District                             ,Rawandan                                          ,2011-12,<=5,<=5
Bridgeport School District                             ,Sinhala                                           ,2011-12,<=5,<=5
Bridgeport School District                             ,Tagalog                                           ,2011-12,7,<=5
Bridgeport School District                             ,Zurate                                            ,2011-12,<=5,<=5
Bridgeport School District                             ,Sonyike                                           ,2011-12,<=5,<=5
Bridgeport School District                             ,Ga                                                ,2011-12,<=5,<=5
Bridgeport School District                             ,Guyanese Creole                                   ,2011-12,<=5,<=5
Bridgeport School District                             ,Aku                                               ,2011-12,<=5,<=5
Bristol School District                                ,Spanish                                           ,2011-12,457,189
Bristol School District                                ,Portuguese                                        ,2011-12,<=5,<=5
Bristol School District                                ,Lao                                               ,2011-12,<=5,<=5
Bristol School District                                ,Khmer(Cambodian)                                  ,2011-12,20,7
Bristol School District                                ,Italian                                           ,2011-12,<=5,<=5
Bristol School District                                ,Polish                                            ,2011-12,107,15
Bristol School District                                ,Albanian                                          ,2011-12,28,<=5
Bristol School District                                ,Arabic                                            ,2011-12,16,8
Bristol School District                                ,Bengali                                           ,2011-12,10,7
Bristol School District                                ,French                                            ,2011-12,7,<=5
Bristol School District                                ,German                                            ,2011-12,<=5,<=5
Bristol School District                                ,Gujarati                                          ,2011-12,<=5,<=5
Bristol School District                                ,Hausa                                             ,2011-12,<=5,<=5
Bristol School District                                ,Hindi                                             ,2011-12,<=5,<=5
Bristol School District                                ,Hungarian                                         ,2011-12,<=5,<=5
Bristol School District                                ,Japanese                                          ,2011-12,<=5,<=5
Bristol School District                                ,Macedonian                                        ,2011-12,<=5,<=5
Bristol School District                                ,Malay(Indonesian)                                 ,2011-12,<=5,<=5
Bristol School District                                ,Malayalam                                         ,2011-12,<=5,<=5
Bristol School District                                ,Punjabi                                           ,2011-12,<=5,<=5
Bristol School District                                ,Akan                                              ,2011-12,<=5,<=5
Bristol School District                                ,Russian                                           ,2011-12,<=5,<=5
Bristol School District                                ,Slovak                                            ,2011-12,<=5,<=5
Bristol School District                                ,Pilipino (Filipino)                               ,2011-12,<=5,<=5
Bristol School District                                ,Tamil                                             ,2011-12,<=5,<=5
Bristol School District                                ,Telugu                                            ,2011-12,<=5,<=5
Bristol School District                                ,Thai                                              ,2011-12,<=5,<=5
Bristol School District                                ,Turkish                                           ,2011-12,10,<=5
Bristol School District                                ,Twi/Fante                                         ,2011-12,<=5,<=5
Bristol School District                                ,Ukrainian                                         ,2011-12,<=5,<=5
Bristol School District                                ,Urdu                                              ,2011-12,19,6
Bristol School District                                ,Vietnamese                                        ,2011-12,11,<=5
Bristol School District                                ,Bangla                                            ,2011-12,<=5,<=5
Bristol School District                                ,Cantonese                                         ,2011-12,11,<=5
Bristol School District                                ,Ilocano                                           ,2011-12,<=5,<=5
Bristol School District                                ,Luganda                                           ,2011-12,<=5,<=5
Bristol School District                                ,Mandarin                                          ,2011-12,32,14
Bristol School District                                ,Persian                                           ,2011-12,<=5,<=5
Bristol School District                                ,Papiamento                                        ,2011-12,<=5,<=5
Bristol School District                                ,Patois                                            ,2011-12,<=5,<=5
Bristol School District                                ,Sinhala                                           ,2011-12,<=5,<=5
Bristol School District                                ,Tagalog                                           ,2011-12,<=5,<=5
Brookfield School District                             ,Spanish                                           ,2011-12,21,7
Brookfield School District                             ,Portuguese                                        ,2011-12,26,8
Brookfield School District                             ,Italian                                           ,2011-12,<=5,<=5
Brookfield School District                             ,Polish                                            ,2011-12,<=5,<=5
Brookfield School District                             ,Greek                                             ,2011-12,<=5,<=5
Brookfield School District                             ,Albanian                                          ,2011-12,<=5,<=5
Brookfield School District                             ,Arabic                                            ,2011-12,6,<=5
Brookfield School District                             ,Bengali                                           ,2011-12,<=5,<=5
Brookfield School District                             ,Bulgarian                                         ,2011-12,<=5,<=5
Brookfield School District                             ,French                                            ,2011-12,<=5,<=5
Brookfield School District                             ,Gujarati                                          ,2011-12,<=5,<=5
Brookfield School District                             ,Hindi                                             ,2011-12,6,<=5
Brookfield School District                             ,Japanese                                          ,2011-12,<=5,<=5
Brookfield School District                             ,Korean                                            ,2011-12,<=5,<=5
Brookfield School District                             ,Malayalam                                         ,2011-12,<=5,<=5
Brookfield School District                             ,Marathi                                           ,2011-12,<=5,<=5
Brookfield School District                             ,Punjabi                                           ,2011-12,<=5,<=5
Brookfield School District                             ,Russian                                           ,2011-12,<=5,<=5
Brookfield School District                             ,Tamil                                             ,2011-12,<=5,<=5
Brookfield School District                             ,Telugu                                            ,2011-12,<=5,<=5
Brookfield School District                             ,Ukrainian                                         ,2011-12,<=5,<=5
Brookfield School District                             ,Urdu                                              ,2011-12,<=5,<=5
Brookfield School District                             ,Vietnamese                                        ,2011-12,<=5,<=5
Brookfield School District                             ,Burmese                                           ,2011-12,<=5,<=5
Brookfield School District                             ,Cantonese                                         ,2011-12,9,<=5
Brookfield School District                             ,Catalan                                           ,2011-12,<=5,<=5
Brookfield School District                             ,Mandarin                                          ,2011-12,<=5,<=5
Brookfield School District                             ,Persian                                           ,2011-12,<=5,<=5
Brookfield School District                             ,Tagalog                                           ,2011-12,<=5,<=5
Brooklyn School District                               ,Spanish                                           ,2011-12,<=5,<=5
Brooklyn School District                               ,Lao                                               ,2011-12,<=5,<=5
Brooklyn School District                               ,Greek                                             ,2011-12,<=5,<=5
