Year,Status,Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Chicago-Joliet-Naperville, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Boston-Cambridge-Quincy, MA-NH","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Atlanta-Sandy Springs-Marietta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","San Diego-Carlsbad-San Marcos, CA","San Jose-Sunnyvale-Santa Clara, CA","Minneapolis-St. Paul-Bloomington, MN-WI","Phoenix-Mesa-Glendale, AZ","Orlando-Kissimmee-Sanford, FL","Sacramento--Arden-Arcade--Roseville, CA","Detroit-Warren-Livonia, MI","Tampa-St. Petersburg-Clearwater, FL","Las Vegas-Paradise, NV","Denver-Aurora-Broomfield, CO","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Towson, MD","Providence-New Bedford-Fall River, RI-MA","Austin-Round Rock-San Marcos, TX","Columbus, OH","Fresno, CA","San Antonio-New Braunfels, TX","Bridgeport-Stamford-Norwalk, CT","Stockton, CA","Charlotte-Gastonia-Rock Hill, NC-SC","Jacksonville, FL","Raleigh-Cary, NC","Honolulu, HI","Hartford-West Hartford-East Hartford, CT","El Paso, TX","St. Louis, MO-IL","Nashville-Davidson--Murfreesboro--Franklin, TN","Salt Lake City, UT","Kansas City, MO-KS","Cleveland-Elyria-Mentor, OH","Oxnard-Thousand Oaks-Ventura, CA","Bakersfield-Delano, CA","Cape Coral-Fort Myers, FL","Worcester, MA","Virginia Beach-Norfolk-Newport News, VA-NC","Indianapolis-Carmel, IN","Cincinnati-Middletown, OH-KY-IN",Non-CBSA,Other & Unknown
2011,Naturalization,Uganda,838,30,66,6,26,17,59,168,21,32,29,16,19,16,10,6,25,11,5,6,D,6,3,18,D,11,5,3,4,-,D,3,-,D,3,4,D,3,-,-,4,D,8,D,5,D,D,10,D,7,3,5,149
2011,Naturalization,Ukraine,8489,1409,300,129,654,170,101,143,41,61,113,342,838,20,54,81,132,36,35,565,70,83,36,86,520,59,14,14,34,29,12,43,D,57,26,21,3,33,D,32,16,12,17,156,12,4,12,12,17,16,21,71,1724
2011,Naturalization,United Arab Emirates,425,33,32,7,31,14,12,10,39,23,13,10,12,7,-,6,14,8,D,3,10,D,5,4,-,4,-,D,4,D,D,3,-,D,D,D,-,3,D,D,3,-,6,4,D,-,-,-,-,4,D,4,80
2011,Naturalization,United Kingdom,9246,876,508,327,258,350,259,369,326,223,267,225,216,93,196,156,69,156,186,68,126,193,62,94,91,78,32,92,32,13,45,102,D,73,46,99,17,36,D,33,32,28,19,36,61,5,31,37,49,29,33,164,2323
2011,Naturalization,United States,45,5,D,5,-,D,4,-,3,-,D,D,-,D,4,-,-,D,-,D,D,-,-,-,D,D,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
2011,Naturalization,Uruguay,751,158,32,205,11,7,22,8,8,9,32,3,4,4,D,D,5,5,15,-,D,4,6,D,D,7,D,D,D,-,D,9,-,7,D,D,D,-,-,D,D,10,D,D,D,-,5,19,D,D,-,3,128
2011,Naturalization,Uzbekistan,2463,554,96,29,81,41,23,24,22,13,53,108,166,D,36,13,10,26,19,83,14,10,8,51,64,66,-,14,16,-,4,D,D,15,13,3,3,7,D,26,4,24,3,28,D,-,12,-,13,3,9,8,641
2011,Naturalization,Vanuatu,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,Naturalization,Venezuela,6856,512,105,2755,68,45,106,102,306,106,170,63,31,11,32,15,30,35,504,11,18,197,16,29,10,26,20,26,12,D,27,25,D,44,44,39,4,8,5,10,23,54,11,11,D,9,51,6,12,21,37,39,1011
2011,Naturalization,Vietnam,20922,309,3341,239,291,731,472,494,1243,923,673,569,838,275,537,1598,309,323,206,443,65,284,116,259,344,89,30,186,41,30,106,35,88,157,75,102,120,51,6,177,62,92,107,35,44,16,21,65,40,33,48,111,4073
2011,Naturalization,Western Sahara,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-
2011,Naturalization,Yemen,1320,327,7,3,48,113,18,D,4,4,D,14,4,3,D,D,8,-,-,4,342,3,-,3,-,D,-,D,3,23,-,-,8,D,-,D,-,7,-,D,11,-,D,D,-,15,-,-,3,D,-,13,312
2011,Naturalization,Zambia,337,20,8,6,10,7,16,4,13,29,27,8,4,6,D,D,7,7,14,D,6,6,D,5,D,9,-,3,D,-,D,-,-,D,D,4,D,D,-,3,D,-,4,4,-,-,D,3,D,4,3,D,75
2011,Naturalization,Zimbabwe,715,27,21,13,15,11,25,16,21,94,25,30,10,18,9,7,9,16,17,8,5,4,D,9,3,8,-,3,11,-,D,4,D,4,D,9,-,3,-,8,5,D,5,3,D,-,D,3,D,27,6,17,174
2011,Naturalization,Unknown,337,25,16,12,29,9,9,-,15,10,4,1,3,5,2,2,-,5,6,3,12,1,1,2,1,2,-,1,3,1,1,-,2,1,5,8,-,1,-,6,1,1,4,5,-,-,1,-,1,3,7,7,103
