Year,Status,Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Miami-Fort Lauderdale-Pompano Beach, FL","Los Angeles-Long Beach-Santa Ana, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Boston-Cambridge-Quincy, MA-NH","Dallas-Fort Worth-Arlington, TX","Atlanta-Sandy Springs-Marietta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Diego-Carlsbad-San Marcos, CA","Riverside-San Bernardino-Ontario, CA","San Jose-Sunnyvale-Santa Clara, CA","Sacramento--Arden-Arcade--Roseville, CA","Minneapolis-St. Paul-Bloomington, MN-WI","Phoenix-Mesa-Glendale, AZ","Orlando-Kissimmee-Sanford, FL","Tampa-St. Petersburg-Clearwater, FL","Detroit-Warren-Livonia, MI","Las Vegas-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Fresno, CA","Columbus, OH","Providence-New Bedford-Fall River, RI-MA","Stockton, CA","Austin-Round Rock-San Marcos, TX","Bridgeport-Stamford-Norwalk, CT","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Jacksonville, FL","Raleigh-Cary, NC","El Paso, TX","St. Louis, MO-IL","Hartford-West Hartford-East Hartford, CT","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Honolulu, HI","Cape Coral-Fort Myers, FL","Salt Lake City, UT","Cleveland-Elyria-Mentor, OH","Worcester, MA","Naples-Marco Island, FL","Tucson, AZ","Virginia Beach-Norfolk-Newport News, VA-NC","Richmond, VA","San Juan-Caguas-Guaynabo, PR",Non-CBSA,Other & Unknown
2012,Naturalization,Turkmenistan,136,27,5,14,3,7,4,5,D,D,D,5,5,D,D,3,5,-,3,-,-,5,D,-,-,-,D,-,D,-,-,-,D,-,D,-,-,-,-,-,D,D,-,D,-,-,-,D,D,D,-,D,24
2012,Naturalization,Turks and Caicos Islands,49,D,29,-,-,D,D,-,-,-,D,D,-,-,-,-,-,-,-,4,D,-,-,-,-,-,-,D,-,-,-,-,-,-,3,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D
2012,Naturalization,Uganda,820,46,7,56,63,33,19,21,171,23,21,16,15,13,5,D,D,23,5,10,7,10,3,5,18,17,-,6,D,D,D,D,-,D,D,5,D,D,4,6,-,D,3,D,D,17,D,4,5,10,-,3,131
2012,Naturalization,Ukraine,9459,1649,154,252,122,569,51,172,137,43,117,357,741,68,34,69,1142,104,36,30,56,117,31,603,84,52,51,42,11,D,16,59,7,76,33,9,D,42,37,7,15,D,11,12,192,10,6,10,11,10,D,65,1932
2012,Naturalization,United Arab Emirates,431,62,7,15,25,26,47,16,3,16,4,10,7,D,7,8,4,11,3,7,5,17,3,D,D,D,-,6,-,D,3,-,11,D,-,3,D,3,4,3,D,-,-,-,3,-,-,3,D,3,-,D,74
2012,Naturalization,United Kingdom,9145,933,294,557,356,262,360,336,309,179,232,216,214,153,69,158,83,76,128,166,164,115,D,112,109,73,D,28,56,15,84,123,37,65,42,88,3,50,35,33,27,22,47,23,27,39,24,37,61,39,5,160,2248
2012,Naturalization,United States,60,6,5,4,14,D,3,D,3,D,-,-,D,-,D,D,-,-,-,D,D,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,9
2012,Naturalization,Uruguay,849,176,252,30,41,7,15,4,7,11,23,8,5,3,D,D,D,D,5,22,9,D,6,D,D,3,-,3,D,-,5,8,D,D,-,D,-,-,D,D,-,-,7,7,D,26,3,D,D,3,8,7,122
2012,Naturalization,Uzbekistan,3071,661,29,89,53,72,27,42,23,13,89,105,133,34,4,8,83,13,58,16,6,13,3,80,71,21,4,11,4,D,D,D,3,32,17,6,-,79,17,5,7,D,8,28,56,-,3,29,18,28,-,7,958
2012,Naturalization,Venezuela,7404,544,3077,120,165,62,436,40,95,109,163,60,49,30,D,23,12,29,20,514,242,17,22,20,26,25,4,7,14,D,24,27,13,50,33,37,7,10,13,21,16,4,66,62,13,15,41,4,13,15,69,26,880
2012,Naturalization,Vietnam,23490,405,225,4295,801,289,1437,777,462,1130,662,556,799,584,322,1945,721,339,290,185,280,99,103,309,245,87,71,40,26,175,156,32,78,170,72,80,9,171,70,66,111,103,13,68,44,70,5,47,86,67,7,99,4207
2012,Naturalization,Yemen,1452,370,D,5,13,45,5,87,5,D,3,10,8,3,4,D,3,9,-,D,D,420,-,D,-,D,20,-,-,5,-,D,D,D,D,3,-,4,12,10,D,-,-,D,D,-,-,4,D,4,-,19,355
2012,Naturalization,Zambia,338,24,5,12,26,15,11,6,6,18,22,5,10,3,8,4,5,5,9,11,4,D,D,D,5,7,-,D,D,-,-,D,D,5,3,D,-,7,D,-,-,D,-,D,3,D,-,D,D,-,-,6,76
2012,Naturalization,Zimbabwe,691,32,9,12,40,12,23,17,22,94,28,15,8,D,8,3,8,8,7,11,4,3,D,5,6,3,-,8,D,D,4,6,D,4,D,5,-,7,-,4,7,-,-,5,D,7,-,D,3,3,-,7,232
2012,Naturalization,Unknown,359,18,9,14,12,28,14,12,4,7,4,2,3,3,5,5,3,3,1,6,6,15,1,1,5,2,5,13,1,1,2,-,-,-,4,2,-,3,-,3,2,-,1,2,9,-,1,2,-,3,2,6,114
