Year,Status,Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Glendale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee-Sanford, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Denver-Aurora-Broomfield, CO","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock-San Marcos, TX","San Antonio-New Braunfels, TX","El Paso, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","Bridgeport-Stamford-Norwalk, CT","Indianapolis-Carmel, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Hartford-West Hartford-East Hartford, CT","Kansas City, MO-KS","Salt Lake City, UT","Raleigh-Cary, NC","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Buffalo-Niagara Falls, NY","Stockton, CA","Tucson, AZ","Fresno, CA","San Juan-Caguas-Guaynabo, PR","Oxnard-Thousand Oaks-Ventura, CA",Non-CBSA,Other & Unknown
2012,Legal Permanent Resident,Belarus,1659,446,55,59,46,82,72,16,D,76,23,23,78,30,53,3,7,9,10,46,28,12,7,11,44,12,3,D,-,8,5,D,3,17,3,D,8,D,4,4,D,6,8,D,11,14,-,7,D,-,D,14,282
2012,Legal Permanent Resident,Belgium,574,98,53,30,45,18,15,27,10,19,18,7,14,14,6,D,4,D,D,D,7,7,6,4,D,3,4,D,-,D,D,-,-,6,D,D,-,D,D,D,-,D,-,-,D,3,-,-,-,D,-,8,124
2012,Legal Permanent Resident,Belize,847,175,248,45,8,86,6,41,22,7,7,D,4,D,8,14,4,D,3,4,D,13,10,D,D,D,4,D,-,-,D,-,-,4,-,-,D,D,4,D,-,D,-,-,-,-,D,-,-,-,D,9,98
2012,Legal Permanent Resident,Benin,415,69,4,D,57,50,4,5,5,3,14,D,18,-,6,D,D,5,D,14,20,-,D,3,D,D,D,D,-,6,3,-,-,D,17,D,D,D,D,3,-,-,-,-,4,-,-,D,-,-,-,6,77
2012,Legal Permanent Resident,Bermuda,85,10,D,D,D,-,D,D,D,3,11,-,11,-,D,D,-,-,D,-,-,-,D,3,-,-,-,-,-,-,D,-,3,D,-,-,D,-,-,-,-,-,D,D,D,D,-,-,-,-,-,3,20
2012,Legal Permanent Resident,Bhutan,10198,47,D,-,120,248,66,273,418,80,617,21,182,D,214,-,187,-,-,130,462,26,-,222,51,95,74,82,-,263,148,-,54,-,8,187,45,75,165,20,-,98,68,124,134,223,-,183,-,-,-,3,4782
2012,Legal Permanent Resident,Bolivia,1948,164,97,202,798,27,18,51,20,29,14,6,5,7,11,7,6,3,11,7,14,11,22,11,6,4,7,10,3,7,6,-,66,4,D,-,D,6,15,3,4,5,7,D,D,-,D,D,D,6,D,22,215
2012,Legal Permanent Resident,Bosnia-Herzegovina,815,58,17,7,19,77,7,22,21,21,32,7,10,9,13,4,21,19,D,11,13,11,19,D,6,13,D,D,-,3,3,-,-,D,D,4,12,3,12,-,-,43,12,-,10,3,-,4,-,D,-,D,258
2012,Legal Permanent Resident,Botswana,80,11,-,D,4,D,D,-,6,5,D,-,D,D,-,D,-,D,-,4,D,-,3,D,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,27
2012,Legal Permanent Resident,Brazil,11441,1742,457,1741,322,151,308,176,215,1239,457,149,138,71,140,48,63,46,385,40,41,76,132,58,30,34,57,15,3,46,24,34,135,289,18,25,39,25,90,34,3,28,40,171,15,5,6,12,12,6,22,98,1930
2012,Legal Permanent Resident,British Virgin Islands,39,8,-,D,-,-,D,3,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,3,-,13,5
2012,Legal Permanent Resident,Brunei,19,5,-,-,D,D,D,5,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,-
2012,Legal Permanent Resident,Bulgaria,2440,253,87,82,99,442,59,18,23,108,60,15,34,36,75,15,36,22,18,14,30,106,38,26,4,14,6,9,D,14,5,5,10,20,6,6,6,7,9,8,-,15,D,9,9,6,-,5,D,5,D,36,524
2012,Legal Permanent Resident,Burkina Faso,558,238,-,D,56,18,5,30,6,7,27,D,23,D,5,D,D,D,-,5,9,-,-,8,D,D,D,-,-,-,D,-,-,D,D,-,3,D,-,3,-,-,D,D,3,-,-,-,-,-,-,3,91
2012,Legal Permanent Resident,Burma,17383,442,354,68,225,224,436,497,1054,134,919,181,241,61,258,30,303,7,28,788,302,15,56,333,5,186,200,154,D,248,117,14,21,7,1129,217,69,372,183,85,-,42,257,22,32,564,8,15,D,-,D,103,6372
2012,Legal Permanent Resident,Burundi,535,16,D,-,21,6,-,28,36,D,18,23,5,3,8,-,27,-,-,6,5,5,D,4,D,4,5,7,-,D,9,-,5,-,D,8,D,4,3,D,-,D,3,5,4,22,-,3,-,-,-,D,227
2012,Legal Permanent Resident,Cambodia,2473,31,395,12,55,46,58,96,74,285,40,51,104,52,169,67,24,D,9,107,20,10,19,D,14,39,11,7,-,21,13,D,32,14,D,6,10,6,21,-,D,D,15,5,9,-,42,9,17,-,7,26,416
2012,Legal Permanent Resident,Cameroon,3815,196,87,16,1209,99,29,154,193,132,174,14,56,18,20,13,42,37,12,123,26,15,11,178,7,7,21,16,7,19,54,-,D,10,18,4,3,33,4,11,3,D,4,32,7,6,4,14,-,-,D,10,663
2012,Legal Permanent Resident,Canada,12932,1224,786,470,256,321,349,519,327,335,280,213,190,234,529,117,317,353,131,136,183,129,166,84,84,131,120,45,10,97,59,54,32,76,71,55,41,33,72,75,11,64,47,30,42,100,17,28,14,4,36,349,3486
2012,Legal Permanent Resident,Cape Verde,1684,20,-,5,10,-,-,-,-,1108,D,D,-,-,D,-,-,-,5,-,-,-,D,-,D,-,-,-,-,-,-,-,472,10,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,D,44
2012,Legal Permanent Resident,Cayman Islands,44,8,-,11,D,-,D,D,-,-,D,-,-,-,-,-,-,-,3,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,11
2012,Legal Permanent Resident,Central African Republic,116,6,D,-,17,D,-,8,D,5,10,D,D,-,D,-,3,-,-,-,D,-,-,D,-,7,D,-,-,-,D,-,-,-,-,-,-,3,7,D,-,-,-,-,-,3,-,4,-,-,-,-,29
2012,Legal Permanent Resident,Chad,155,22,-,-,13,D,-,4,10,-,6,4,D,-,3,-,D,-,-,-,-,-,-,D,-,4,-,5,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,3,-,D,-,-,-,6,63
2012,Legal Permanent Resident,Chile,1673,277,76,282,73,41,27,53,29,29,28,19,17,6,19,8,25,5,36,7,16,18,20,8,20,7,D,4,D,12,D,D,-,9,4,4,D,6,41,10,D,-,5,-,6,-,D,5,D,15,5,11,375
2012,Legal Permanent Resident,"China, People's Republic",81784,24763,10486,661,2001,2099,6721,1606,854,2849,877,737,1521,2184,1677,755,531,505,283,513,397,608,236,576,754,514,242,134,24,216,293,728,197,146,238,204,178,211,171,265,28,327,130,131,306,140,139,112,87,79,136,636,11578
2012,Legal Permanent Resident,Colombia,20931,5053,587,5038,512,360,117,812,323,523,545,105,228,46,131,133,98,37,860,76,60,83,545,69,34,29,44,67,28,189,27,11,189,263,44,43,96,40,61,76,14,36,91,32,25,11,3,13,8,129,27,143,2817
