Year,Status,Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Glendale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee-Sanford, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Denver-Aurora-Broomfield, CO","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock-San Marcos, TX","San Antonio-New Braunfels, TX","El Paso, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","Bridgeport-Stamford-Norwalk, CT","Indianapolis-Carmel, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Hartford-West Hartford-East Hartford, CT","Kansas City, MO-KS","Salt Lake City, UT","Raleigh-Cary, NC","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Buffalo-Niagara Falls, NY","Stockton, CA","Tucson, AZ","Fresno, CA","San Juan-Caguas-Guaynabo, PR","Oxnard-Thousand Oaks-Ventura, CA",Non-CBSA,Other & Unknown
2012,Legal Permanent Resident,Guinea-Bissau,47,6,-,-,D,-,-,-,-,8,3,D,D,-,-,-,-,-,-,-,-,-,D,D,-,D,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11
2012,Legal Permanent Resident,Guyana,5683,4271,13,165,132,13,3,13,22,25,136,5,48,D,3,D,8,5,160,51,D,D,24,49,D,D,D,D,-,7,D,-,6,7,-,7,29,D,-,D,-,3,4,4,17,5,3,D,D,D,D,13,410
2012,Legal Permanent Resident,Haiti,22818,5484,33,8469,196,115,21,41,21,1819,303,18,389,-,22,4,35,18,1387,26,19,16,232,29,7,28,12,15,4,23,25,D,99,337,21,26,42,38,10,8,3,15,178,33,3,5,D,5,D,5,3,245,2925
2012,Legal Permanent Resident,Honduras,6884,1111,482,1007,401,107,72,508,178,129,140,24,40,33,44,81,33,14,57,27,24,63,66,45,18,19,78,54,3,69,7,D,24,43,42,43,8,56,13,29,9,16,35,15,6,D,3,4,6,3,12,65,1515
2012,Legal Permanent Resident,Hong Kong,2104,422,374,27,45,56,302,41,24,82,14,27,29,114,93,18,10,9,3,8,9,11,5,18,31,13,14,-,-,6,4,22,6,7,6,D,D,D,5,5,-,13,-,D,8,5,3,4,D,D,9,8,185
2012,Legal Permanent Resident,Hungary,1054,200,78,78,35,19,24,17,21,28,13,12,20,26,18,7,10,11,12,7,10,16,32,9,D,5,3,D,D,-,9,D,-,17,D,3,D,3,-,6,-,6,7,-,7,D,4,3,-,-,D,10,256
2012,Legal Permanent Resident,Iceland,103,20,8,D,6,D,D,-,D,4,5,D,D,-,D,D,6,-,10,D,-,-,D,3,D,D,-,-,-,D,-,-,-,-,-,-,D,D,-,-,-,D,-,-,-,-,-,-,-,-,-,5,15
2012,Legal Permanent Resident,India,66434,10550,2598,511,2711,4106,3323,2164,2538,1574,1769,699,2067,3514,1939,523,884,1234,263,741,344,148,426,735,807,422,518,240,25,629,486,20,183,340,357,174,545,253,125,446,27,467,226,271,366,126,453,57,514,4,198,383,12411
2012,Legal Permanent Resident,Indonesia,2603,282,441,18,126,48,149,77,49,65,82,34,108,87,87,178,22,7,10,17,47,32,11,12,19,28,28,7,D,7,14,11,3,3,6,9,D,3,3,D,-,10,8,6,10,-,3,4,10,D,5,27,384
2012,Legal Permanent Resident,Iran,12916,487,4215,135,850,247,533,452,400,197,297,413,93,632,326,149,189,78,60,52,81,123,67,125,229,104,103,112,11,42,38,D,24,19,27,64,24,46,67,38,-,42,23,25,29,14,9,30,36,D,83,20,1450
2012,Legal Permanent Resident,Iraq,20369,223,586,81,636,1054,129,794,770,225,276,2395,254,132,427,106,769,2763,64,129,239,92,107,108,309,211,306,253,24,67,180,D,23,10,88,411,D,129,152,116,-,166,138,271,108,204,D,142,6,-,-,36,4631
2012,Legal Permanent Resident,Ireland,1514,415,58,21,36,73,88,23,20,148,14,18,33,32,53,7,13,11,19,6,5,5,6,17,12,7,20,D,D,14,-,5,10,23,4,D,9,D,D,4,D,4,3,D,10,D,-,4,D,D,8,11,230
2012,Legal Permanent Resident,Israel,4153,1127,423,339,115,111,114,74,71,116,77,61,92,246,144,23,28,23,37,11,34,77,24,18,18,17,20,6,D,9,12,11,3,6,8,10,D,25,4,9,-,28,5,D,37,3,D,9,D,6,20,14,480
2012,Legal Permanent Resident,Italy,2673,584,180,263,100,65,93,67,32,103,32,57,59,48,39,10,20,36,24,20,15,24,40,12,7,14,10,9,D,17,17,5,15,17,3,6,16,5,6,12,D,12,12,6,7,4,5,8,-,11,12,20,490
2012,Legal Permanent Resident,Jamaica,20705,8172,116,3849,579,175,30,133,77,354,836,24,616,6,25,54,45,46,497,23,16,30,256,202,10,15,14,20,5,46,31,6,43,330,18,17,591,18,3,22,5,31,94,28,46,29,D,8,D,D,4,172,2934
2012,Legal Permanent Resident,Japan,6061,803,942,61,116,182,307,110,74,135,87,207,57,190,192,42,53,94,37,42,33,52,28,17,34,81,36,31,D,14,34,447,14,28,27,9,8,13,19,10,5,33,14,10,23,7,4,4,6,D,12,149,1125
2012,Legal Permanent Resident,Jordan,4099,475,188,68,128,540,100,124,129,53,52,49,96,44,28,100,34,143,23,42,21,12,72,24,25,23,15,14,-,29,68,-,7,6,18,34,7,20,13,34,-,28,16,15,70,21,3,12,9,14,5,27,1021
2012,Legal Permanent Resident,Kazakhstan,1202,288,64,27,57,36,31,56,10,23,8,23,25,20,37,9,3,10,13,10,17,13,4,7,23,21,7,D,D,8,4,D,4,D,3,D,3,5,D,3,-,5,D,-,5,5,-,7,-,-,-,13,283
2012,Legal Permanent Resident,Kenya,7043,337,138,21,215,53,85,188,520,293,294,62,196,25,384,54,107,D,19,516,79,27,13,181,39,35,32,19,6,35,203,3,18,12,46,30,10,135,19,106,-,101,8,134,23,37,3,12,D,-,D,40,2117
2012,Legal Permanent Resident,Kiribati,6,D,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
2012,Legal Permanent Resident,"Korea, North",49,5,4,-,D,D,D,-,D,-,4,-,-,4,D,-,D,D,D,-,3,D,-,D,-,-,-,-,D,-,-,-,-,-,-,5,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,6
2012,Legal Permanent Resident,"Korea, South",20846,3291,4842,110,1209,630,415,283,563,279,953,339,467,503,548,227,148,158,58,111,136,123,50,384,115,117,144,40,27,73,55,190,15,26,48,85,47,46,29,92,30,64,17,27,51,22,14,31,14,-,35,450,3115
2012,Legal Permanent Resident,Kosovo,782,351,5,4,6,40,4,18,17,11,15,6,15,-,5,D,14,24,D,6,D,4,11,D,-,D,-,-,-,4,-,-,D,18,-,6,9,D,3,D,-,3,5,3,D,3,-,5,-,-,-,6,149
2012,Legal Permanent Resident,Kuwait,1044,92,61,15,46,63,25,53,50,16,23,10,21,9,18,13,11,48,8,11,D,4,4,3,3,7,5,7,-,7,6,-,D,D,7,13,-,4,13,7,-,10,3,6,11,9,D,6,D,-,D,8,300
2012,Legal Permanent Resident,Kyrgyzstan,648,152,13,11,34,32,17,13,8,16,3,4,20,12,40,4,D,-,20,4,3,7,D,5,14,35,D,3,D,4,D,-,D,D,-,4,4,D,D,-,-,9,5,-,D,D,-,-,D,D,D,9,128
2012,Legal Permanent Resident,Laos,949,4,26,4,15,9,17,6,30,12,11,16,8,11,16,9,4,7,D,153,7,4,10,-,46,6,-,D,-,5,8,8,9,3,-,20,5,8,10,-,-,D,-,4,-,-,9,-,75,-,-,19,330
2012,Legal Permanent Resident,Latvia,436,79,24,14,18,27,5,D,5,15,20,10,16,D,10,-,D,D,6,3,5,-,5,4,4,3,-,-,-,-,4,D,-,10,D,D,-,3,D,3,-,8,D,D,8,D,-,D,D,-,-,7,102
2012,Legal Permanent Resident,Lebanon,2879,236,306,72,91,54,33,131,75,159,47,46,28,20,29,60,32,517,21,19,16,21,33,13,10,20,17,9,4,18,3,-,36,4,5,13,D,6,D,6,-,8,14,21,57,13,D,8,6,D,6,20,510
2012,Legal Permanent Resident,Lesotho,17,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,6
2012,Legal Permanent Resident,Liberia,4109,353,11,6,214,36,15,69,94,85,193,10,820,3,16,11,55,29,D,518,32,11,13,128,38,18,6,10,-,85,51,D,142,8,27,9,8,22,13,7,-,16,14,64,21,13,5,19,-,-,-,3,783
2012,Legal Permanent Resident,Libya,315,23,8,D,23,9,5,21,7,5,5,5,12,8,13,11,-,6,8,6,17,-,D,-,6,6,-,D,4,D,8,-,D,D,D,D,D,D,-,3,-,D,-,-,3,D,D,D,-,-,D,-,72
2012,Legal Permanent Resident,Lithuania,924,138,27,38,15,332,10,D,8,14,20,D,23,11,11,3,D,5,6,7,6,5,14,16,4,9,-,3,-,5,-,D,D,10,D,9,7,D,D,-,-,3,4,D,D,D,-,D,-,D,D,6,133
2012,Legal Permanent Resident,Luxembourg,19,D,D,-,-,-,D,-,-,D,-,D,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
2012,Legal Permanent Resident,Macau,120,28,27,-,D,7,23,D,D,6,D,D,-,6,D,-,-,-,-,D,-,-,-,D,-,-,-,-,-,D,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,7
2012,Legal Permanent Resident,Macedonia,906,311,16,27,11,148,D,5,5,7,4,4,11,-,3,D,10,28,D,3,D,6,5,D,D,D,D,D,-,D,13,-,D,13,-,-,D,D,-,-,-,3,4,-,7,D,-,-,-,-,-,17,223
2012,Legal Permanent Resident,Madagascar,79,6,D,-,26,D,3,-,-,D,6,3,-,-,-,3,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,D,-,D,-,-,-,D,-,-,D,D,-,-,D,-,-,-,-,-,-,-,19
2012,Legal Permanent Resident,Malawi,192,9,3,D,22,3,D,3,13,D,13,D,D,-,5,6,5,5,D,D,-,-,-,4,-,-,3,D,-,5,D,-,-,-,D,D,-,-,D,-,-,5,-,-,-,-,-,-,-,-,D,-,69
2012,Legal Permanent Resident,Malaysia,2605,368,133,13,33,49,84,91,158,41,120,30,39,80,53,37,49,12,8,30,18,10,13,47,16,24,29,16,-,26,26,4,4,10,118,26,5,44,17,23,-,7,24,D,6,29,4,3,D,D,-,14,609
2012,Legal Permanent Resident,Maldives,D,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,Legal Permanent Resident,Mali,734,336,4,D,29,6,D,27,5,3,19,D,100,-,19,-,3,D,D,-,31,-,-,15,4,D,D,-,-,6,5,D,9,-,7,-,-,D,D,-,-,D,D,-,4,-,-,D,-,-,-,D,84
2012,Legal Permanent Resident,Malta,62,8,D,-,D,-,-,4,-,D,4,D,-,D,5,-,D,D,-,3,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,D,-,-,-,D,23
2012,Legal Permanent Resident,Marshall Islands,50,-,-,-,D,D,-,-,-,-,-,-,D,D,D,-,-,-,-,5,-,-,D,-,-,3,-,-,-,-,-,D,-,-,-,D,-,D,3,-,-,-,-,-,-,-,-,-,-,-,-,3,26
2012,Legal Permanent Resident,Mauritania,410,92,-,-,23,5,-,D,5,D,14,-,25,-,3,D,D,3,-,D,7,-,-,4,-,-,-,-,-,D,56,-,D,-,6,-,D,D,-,-,-,-,-,3,5,D,-,D,-,-,-,D,141
2012,Legal Permanent Resident,Mauritius,77,8,D,D,6,-,4,3,-,D,-,D,3,D,3,3,4,-,-,D,D,D,-,D,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,3,-,-,-,D,-,-,D,D,19
2012,Legal Permanent Resident,Mexico,146406,2217,17059,1098,676,7716,2461,7919,8023,215,1593,6768,655,1422,896,6724,4669,575,377,557,2028,1962,425,139,1227,817,1606,2757,4904,433,116,46,50,120,343,350,50,599,728,300,3206,218,61,21,122,24,957,1342,1393,65,1193,4031,43153
2012,Legal Permanent Resident,"Micronesia, Federated States",13,-,-,D,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,5
2012,Legal Permanent Resident,Moldova,2021,235,57,64,57,105,20,19,8,44,44,14,39,9,136,8,9,11,77,61,23,22,6,15,190,73,3,4,D,24,D,D,3,9,3,-,D,-,9,10,-,6,D,4,19,-,-,D,3,-,D,38,532
2012,Legal Permanent Resident,Monaco,D,-,D,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
2012,Legal Permanent Resident,Mongolia,691,18,72,-,125,96,106,-,3,6,4,4,D,D,44,-,D,-,D,4,52,D,D,5,23,D,-,-,-,D,D,8,D,D,-,D,D,-,4,-,-,5,-,-,D,-,-,-,-,-,-,D,92
2012,Legal Permanent Resident,Montenegro,265,174,4,5,D,14,3,-,D,3,D,-,D,D,3,D,D,22,-,-,-,3,D,D,D,-,-,-,-,D,-,-,-,D,D,-,-,D,-,-,-,D,-,D,D,-,-,-,-,-,-,-,14
2012,Legal Permanent Resident,Montserrat,27,14,D,D,D,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,3
2012,Legal Permanent Resident,Morocco,3656,687,78,85,297,119,62,52,55,485,71,24,153,15,45,8,14,17,151,27,50,26,68,34,12,14,17,7,D,24,44,D,37,31,22,4,17,4,3,66,-,8,12,4,11,6,3,3,-,D,D,30,646
2012,Legal Permanent Resident,Mozambique,94,12,D,D,4,3,D,3,8,-,D,D,D,D,4,-,-,D,D,-,D,-,-,-,-,3,D,D,-,-,-,D,D,-,-,-,-,-,-,D,-,-,D,-,D,-,-,-,-,-,-,D,35
2012,Legal Permanent Resident,Namibia,59,3,-,D,4,D,-,-,-,3,D,-,D,-,4,-,4,D,-,D,D,-,D,D,D,-,D,D,-,D,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,D,18
2012,Legal Permanent Resident,Nauru,8,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,Legal Permanent Resident,Nepal,11312,1168,219,26,873,293,340,298,725,398,378,26,128,113,222,14,111,29,16,147,357,18,13,418,92,82,135,60,D,139,82,16,52,6,11,83,93,54,119,64,D,71,29,56,67,98,-,104,D,-,18,48,3398
2012,Legal Permanent Resident,Netherlands,1091,123,66,36,38,29,39,48,11,31,32,18,14,30,49,12,16,6,21,11,7,D,10,9,10,14,9,3,D,4,D,5,D,11,6,5,3,3,D,7,3,9,7,3,3,-,3,3,4,4,5,31,271
2012,Legal Permanent Resident,Netherlands Antilles,106,26,D,16,5,4,D,3,3,4,D,-,3,D,-,-,D,-,6,-,-,-,-,D,-,-,-,-,-,-,-,-,D,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,D,6,18
2012,Legal Permanent Resident,New Caledonia,D,-,-,D,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,Legal Permanent Resident,New Zealand,814,75,71,19,24,20,50,13,15,14,5,16,6,13,30,10,15,4,-,6,14,9,4,7,11,10,13,D,-,6,5,8,6,8,D,8,5,D,7,-,-,4,4,-,4,-,D,D,4,-,D,35,225
2012,Legal Permanent Resident,Nicaragua,3046,176,250,1252,111,29,152,115,53,13,27,7,18,29,11,57,4,D,40,6,9,34,40,9,4,13,9,18,6,20,-,D,D,13,10,3,3,D,7,5,-,4,13,5,D,D,7,3,D,15,4,24,406
2012,Legal Permanent Resident,Niger,48,10,-,-,7,D,D,D,-,-,D,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,D,-,-,-,-,D,-,-,-,D,18
2012,Legal Permanent Resident,Nigeria,13575,2020,467,131,1144,728,166,1460,868,366,917,41,410,30,73,140,121,140,58,247,61,36,55,617,62,42,66,48,28,61,84,D,106,25,251,93,32,65,6,98,-,49,49,16,52,23,33,12,20,D,5,49,1900
2012,Legal Permanent Resident,Niue,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
2012,Legal Permanent Resident,Norway,276,28,23,13,6,-,11,24,7,9,5,D,4,3,14,5,D,3,12,3,D,D,3,-,D,4,4,D,D,-,-,-,-,D,D,D,-,D,-,D,-,-,-,-,D,-,3,-,D,D,D,5,65
2012,Legal Permanent Resident,Oman,74,16,D,-,D,D,D,16,D,5,-,-,D,-,4,-,D,3,-,-,D,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
2012,Legal Permanent Resident,Pakistan,14740,3737,494,231,1083,929,351,1025,547,225,321,44,376,148,190,169,72,239,102,65,56,28,49,388,222,23,109,64,D,30,55,12,39,58,30,20,125,65,43,63,D,63,30,28,37,28,153,17,17,3,8,60,2464
2012,Legal Permanent Resident,Palau,10,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,3
2012,Legal Permanent Resident,Panama,1281,228,35,154,50,22,17,37,32,15,39,7,9,4,14,4,6,3,50,3,3,14,37,11,4,5,11,25,D,8,-,4,4,D,3,D,-,3,6,4,3,12,10,D,3,D,D,D,D,14,-,18,340
2012,Legal Permanent Resident,Papua New Guinea,21,3,-,D,-,-,-,-,D,-,-,D,-,D,-,D,-,-,D,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,6
2012,Legal Permanent Resident,Paraguay,467,218,7,61,30,4,-,7,D,11,3,-,-,D,3,4,4,D,D,D,3,D,D,D,D,-,D,3,D,D,D,-,-,5,-,D,D,D,3,-,-,-,5,-,-,-,-,-,-,D,D,3,68
2012,Legal Permanent Resident,Peru,12609,3028,791,1842,1140,153,327,233,219,144,260,67,85,81,75,168,52,27,236,41,98,92,155,77,49,34,50,31,6,98,22,15,23,129,33,26,190,40,150,41,14,20,58,15,28,8,20,11,6,32,30,116,1923
2012,Legal Permanent Resident,Philippines,57327,4879,8683,632,1441,2161,4095,979,565,255,248,2371,464,1636,1324,1490,588,304,366,243,167,1627,303,470,885,353,154,239,77,84,126,2737,88,104,87,99,86,101,57,74,130,136,328,24,97,26,645,85,222,10,370,2621,11991
2012,Legal Permanent Resident,Poland,6300,1979,119,112,74,2128,32,46,36,55,29,19,122,24,29,14,29,92,21,8,29,19,38,22,13,9,7,11,4,6,5,6,32,79,11,D,218,9,10,7,D,8,13,38,20,8,D,5,D,-,4,41,655
2012,Legal Permanent Resident,Portugal,811,267,19,41,23,12,20,10,3,66,14,5,12,6,4,D,3,D,4,D,7,D,3,D,D,D,D,D,-,-,D,-,127,15,-,-,8,D,D,D,-,-,D,5,-,-,-,D,D,D,-,7,104
2012,Legal Permanent Resident,Qatar,141,30,8,D,9,4,5,3,5,4,5,D,-,D,D,D,-,6,D,-,3,-,D,D,-,-,-,D,D,-,D,-,-,-,D,D,-,D,-,-,-,D,D,-,-,D,D,-,D,-,D,-,35
2012,Legal Permanent Resident,Romania,3748,504,225,211,107,419,51,60,53,70,142,21,59,28,137,32,131,177,14,17,16,45,20,27,54,85,9,15,5,18,16,4,6,37,14,17,8,4,7,5,-,8,16,4,71,10,D,7,D,5,5,40,709
2012,Legal Permanent Resident,Russia,9969,2286,636,354,386,355,301,157,123,324,158,136,270,196,369,52,56,78,91,103,123,71,95,93,155,143,39,24,D,34,60,16,39,65,30,27,33,30,23,41,D,53,25,22,70,33,8,5,5,6,16,122,2024
2012,Legal Permanent Resident,Rwanda,592,14,4,5,15,16,D,25,48,8,11,4,4,D,10,3,19,D,5,5,13,D,3,17,-,11,3,6,-,4,5,-,D,D,5,6,-,D,17,5,-,3,-,8,D,24,-,7,-,-,D,3,244
2012,Legal Permanent Resident,Saint Helena,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
2012,Legal Permanent Resident,Saint Kitts-Nevis,311,81,-,30,10,5,D,D,3,5,9,-,D,-,-,-,-,-,5,-,D,D,3,7,-,-,-,-,-,D,D,-,D,3,-,D,-,D,-,D,-,-,D,D,-,-,-,-,-,3,-,106,24
2012,Legal Permanent Resident,Saint Lucia,919,485,3,44,22,6,3,30,6,9,15,D,7,-,-,4,5,-,27,-,D,3,8,4,-,D,-,-,-,5,3,-,-,4,-,D,32,-,-,D,-,-,3,4,-,-,-,-,-,-,D,81,99
2012,Legal Permanent Resident,Saint Vincent and the Grenadines,503,332,6,23,14,D,-,D,D,8,3,D,12,D,D,D,-,-,9,D,-,-,D,3,-,-,D,D,-,3,3,D,D,D,-,-,3,-,-,-,-,-,D,-,D,D,-,-,-,-,-,7,56
2012,Legal Permanent Resident,Samoa,238,D,32,D,D,-,14,-,-,-,-,D,-,5,35,14,D,-,-,-,D,3,-,-,4,3,D,-,-,-,-,37,-,-,-,-,-,7,25,-,-,-,-,-,-,-,-,-,-,-,-,5,42
2012,Legal Permanent Resident,Sao Tome and Principe,12,D,-,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,Legal Permanent Resident,Saudi Arabia,1343,168,65,24,107,97,24,71,46,25,27,26,29,17,15,12,13,38,17,19,19,D,19,10,10,17,10,10,D,6,19,D,3,7,D,10,D,6,5,D,5,11,-,4,13,D,D,7,3,-,D,8,290
2012,Legal Permanent Resident,Senegal,1615,537,15,7,97,19,8,31,18,12,84,5,48,D,19,3,7,30,3,11,14,3,5,34,D,5,4,5,D,16,89,D,38,3,29,5,3,8,3,15,-,8,5,3,10,4,D,-,D,-,-,18,326
2012,Legal Permanent Resident,Serbia,704,126,31,48,57,111,14,6,10,14,4,14,20,12,21,6,10,5,3,4,D,18,5,6,-,3,D,D,-,3,6,3,-,D,5,D,D,3,D,D,-,7,D,-,D,D,-,-,D,-,D,12,99
2012,Legal Permanent Resident,Serbia and Montenegro 1,801,262,32,16,30,95,6,7,16,8,D,18,12,4,11,D,12,40,6,3,4,6,7,4,D,4,D,4,-,-,3,5,-,8,D,4,6,D,3,-,-,8,-,-,12,D,-,-,-,-,-,3,132
2012,Legal Permanent Resident,Seychelles,D,-,D,D,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
2012,Legal Permanent Resident,Sierra Leone,1688,271,47,D,500,12,13,39,42,44,52,D,199,21,11,8,18,13,4,32,12,D,3,28,5,D,D,-,-,11,71,D,D,-,4,4,D,5,D,15,-,10,6,5,D,3,3,3,-,-,-,D,154
2012,Legal Permanent Resident,Singapore,712,104,71,8,26,19,51,38,26,21,11,12,22,49,31,6,10,D,D,3,7,8,3,3,-,9,9,D,-,-,D,4,-,7,4,D,D,-,D,D,-,D,3,3,4,D,D,D,-,-,D,5,116
2012,Legal Permanent Resident,Slovakia,528,176,30,11,15,41,12,4,8,3,9,6,6,6,3,3,4,5,4,4,D,D,4,3,4,4,4,-,D,3,D,D,D,6,D,D,D,-,3,D,-,-,6,-,5,-,-,D,-,-,D,5,113
2012,Legal Permanent Resident,Slovenia,86,15,D,5,4,8,4,D,D,3,4,-,-,-,5,-,D,-,-,D,D,D,D,-,-,-,-,D,D,-,-,-,D,D,D,-,D,-,D,-,-,D,D,-,3,-,-,-,-,-,-,-,14
2012,Legal Permanent Resident,Solomon Islands,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,Legal Permanent Resident,Somalia,5204,8,19,-,67,56,9,31,75,104,70,104,5,14,363,D,85,D,D,950,94,5,D,6,D,120,3,29,-,16,450,D,D,D,18,78,4,90,66,15,-,40,D,32,9,60,-,20,-,-,-,50,2025
2012,Legal Permanent Resident,South Africa,2781,244,185,136,85,75,46,71,94,61,111,62,38,27,64,47,40,15,32,32,38,14,31,24,22,17,33,17,D,45,9,4,6,29,D,23,12,27,18,30,-,7,18,3,15,D,4,6,-,D,D,79,778
2012,Legal Permanent Resident,South Sudan,17,-,-,-,D,D,-,-,D,-,-,D,D,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,D,6
2012,Legal Permanent Resident,"Soviet Union, former",1296,383,91,73,33,40,46,13,6,45,14,22,30,17,44,4,9,5,22,6,6,11,13,15,32,16,3,D,D,6,7,3,D,7,-,D,7,3,D,5,-,4,D,D,8,3,D,-,D,D,-,15,214
2012,Legal Permanent Resident,Spain,1842,291,109,367,57,46,62,53,38,68,21,39,25,37,38,12,7,13,26,9,14,13,21,8,6,8,13,5,3,4,3,D,13,18,3,D,D,3,5,3,3,8,5,D,D,D,D,D,3,32,D,16,299
2012,Legal Permanent Resident,Sri Lanka,1994,538,262,10,143,54,64,53,65,40,48,31,34,28,33,42,5,12,15,21,D,23,14,21,7,5,12,11,-,8,22,-,4,3,D,7,14,5,D,3,D,4,5,8,6,6,5,6,D,-,4,10,274
2012,Legal Permanent Resident,Sudan,2471,188,39,14,292,76,20,45,103,38,53,24,88,10,37,7,54,23,7,25,81,5,17,20,5,4,9,6,-,10,14,-,D,D,27,29,7,29,34,9,D,7,10,-,13,13,D,4,-,-,-,-,970
